path,prompt,nim_safe_prompt,ratio,done
content/characters/adeyemi_ogunbiyi/assets/adeyemi_ogunbiyi__calculating.png,"premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of an Afro-Latino man. Tall over six feet, lean muscular build with effortless grace. Deeply unique, un-idealized facial anatomy with realistic eye sizes, dark expressive eyes, strong brow, high cheekbones, chiseled jawline. Calm and determined expression, sharp perceptive look, steady composed bearing. Dark hair in simple un-styled flowing shapes. Small sport non-in-ear earbud clipped to earlobe. Wearing a minimalist, pocketless trench coat. The backdrop is a weathered urban Latin American building under intense vertical tropical sunlight, creating soft volumetric depth. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette, zero conventional beauty templates Cold, assessing focus, looking sharply at the camera, 3/4 take. Eyes narrow and sharp, cheekbones catching the light, jawline firm and angular, frame leaning slightly forward. same art style as the character base, same trench coat and clothing. Clean confident linework, painterly soft shading, muted natural palette.","premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of an Afro-Latino man. Tall over six feet, lean muscular build with effortless grace. Deeply unique, un-idealized facial anatomy with realistic eye sizes, dark expressive eyes, strong brow, high cheekbones, chiseled jawline. Calm and determined expression, sharp perceptive look, steady composed bearing. Dark hair in simple un-styled flowing shapes. Cold, assessing focus, looking sharply at the camera, 3/4 take. Eyes narrow and sharp, cheekbones catching the light, jawline firm and angular, frame leaning slightly forward. same art style as the character base, same trench coat and clothing. Clean confident linework, painterly soft shading, muted natural palette.",3:4,0
content/characters/adeyemi_ogunbiyi/assets/adeyemi_ogunbiyi__default.png,"premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of an Afro-Latino man. Tall over six feet, lean muscular build with effortless grace. Deeply unique, un-idealized facial anatomy with realistic eye sizes, dark expressive eyes, strong brow, high cheekbones, chiseled jawline. Calm and determined expression, sharp perceptive look, steady composed bearing. Dark hair in simple un-styled flowing shapes. Small sport non-in-ear earbud clipped to earlobe. Wearing a minimalist, pocketless trench coat. The backdrop is a weathered urban Latin American building under intense vertical tropical sunlight, creating soft volumetric depth. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette, zero conventional beauty templates Neutral resting expression, calm and composed, looking at the camera, 3/4 take. same art style as the character base, same trench coat and clothing. Clean confident linework, painterly soft shading, muted natural palette, zero conventional beauty templates.","premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of an Afro-Latino man. Tall over six feet, lean muscular build with effortless grace. Deeply unique, un-idealized facial anatomy with realistic eye sizes, dark expressive eyes, strong brow, high cheekbones, chiseled jawline. Calm and determined expression, sharp perceptive look, steady composed bearing. Dark hair in simple un-styled flowing shapes. Small sport non-in-ear earbud clipped to earlobe. Neutral resting expression, calm and composed, looking at the camera, 3/4 take. same art style as the character base, same trench coat and clothing. Clean confident linework, painterly soft shading, muted natural palette, zero conventional beauty templates.",3:4,0
content/characters/adeyemi_ogunbiyi/assets/adeyemi_ogunbiyi__shocked.png,"premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of an Afro-Latino man. Tall over six feet, lean muscular build with effortless grace. Deeply unique, un-idealized facial anatomy with realistic eye sizes, dark expressive eyes, strong brow, high cheekbones, chiseled jawline. Calm and determined expression, sharp perceptive look, steady composed bearing. Dark hair in simple un-styled flowing shapes. Small sport non-in-ear earbud clipped to earlobe. Wearing a minimalist, pocketless trench coat. The backdrop is a weathered urban Latin American building under intense vertical tropical sunlight, creating soft volumetric depth. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette, zero conventional beauty templates Caught mid-exposure, looking at the camera with sudden revelation, 3/4 take. Eyes wide with whites visible, brow raised high, mouth slightly open, frame tense with surprise. same art style as the character base, same trench coat and clothing. Clean confident linework, painterly soft shading, muted natural palette.","premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of an Afro-Latino man. Tall over six feet, lean muscular build with effortless grace. Deeply unique, un-idealized facial anatomy with realistic eye sizes, dark expressive eyes, strong brow, high cheekbones, chiseled jawline. Calm and determined expression, sharp perceptive look, steady composed bearing. Dark hair in simple un-styled flowing shapes. Caught mid-exposure, looking at the camera with sudden revelation, 3/4 take. Eyes wide with whites visible, brow raised high, mouth slightly open, frame tense with surprise. same art style as the character base, same trench coat and clothing. Clean confident linework, painterly soft shading, muted natural palette.",3:4,0
content/characters/adeyemi_ogunbiyi/assets/adeyemi_ogunbiyi__tender.png,"premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of an Afro-Latino man. Tall over six feet, lean muscular build with effortless grace. Deeply unique, un-idealized facial anatomy with realistic eye sizes, dark expressive eyes, strong brow, high cheekbones, chiseled jawline. Calm and determined expression, sharp perceptive look, steady composed bearing. Dark hair in simple un-styled flowing shapes. Small sport non-in-ear earbud clipped to earlobe. Wearing a minimalist, pocketless trench coat. The backdrop is a weathered urban Latin American building under intense vertical tropical sunlight, creating soft volumetric depth. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette, zero conventional beauty templates Intimate warmth, looking gently at the camera, 3/4 take. Eyes soft, brow relaxed, a subtle knowing half-smile at the corner of the mouth, frame approachable. same art style as the character base, same trench coat and clothing. Clean confident linework, painterly soft shading, muted natural palette.","premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of an Afro-Latino man. Tall over six feet, lean muscular build with effortless grace. Deeply unique, un-idealized facial anatomy with realistic eye sizes, dark expressive eyes, strong brow, high cheekbones, chiseled jawline. Calm and determined expression, sharp perceptive look, steady composed bearing. Dark hair in simple un-styled flowing shapes. Intimate warmth, looking gently at the camera, 3/4 take. Eyes soft, brow relaxed, a subtle knowing half-smile at the corner of the mouth, frame approachable. same art style as the character base, same trench coat and clothing. Clean confident linework, painterly soft shading, muted natural palette.",3:4,0
content/characters/adeyemi_ogunbiyi/assets/adeyemi_ogunbiyi__vulnerable.png,"premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of an Afro-Latino man. Tall over six feet, lean muscular build with effortless grace. Deeply unique, un-idealized facial anatomy with realistic eye sizes, dark expressive eyes, strong brow, high cheekbones, chiseled jawline. Calm and determined expression, sharp perceptive look, steady composed bearing. Dark hair in simple un-styled flowing shapes. Small sport non-in-ear earbud clipped to earlobe. Wearing a minimalist, pocketless trench coat. The backdrop is a weathered urban Latin American building under intense vertical tropical sunlight, creating soft volumetric depth. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette, zero conventional beauty templates Guard completely down, a vulnerable expression, looking directly at the camera, 3/4 take. Eyes soft and open, brow smooth, jawline softened, shoulders relaxed. same art style as the character base, same trench coat and clothing. Clean confident linework, painterly soft shading, muted natural palette.","premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of an Afro-Latino man. Tall over six feet, lean muscular build with effortless grace. Deeply unique, un-idealized facial anatomy with realistic eye sizes, dark expressive eyes, strong brow, high cheekbones, chiseled jawline. Calm and determined expression, sharp perceptive look, steady composed bearing. Dark hair in simple un-styled flowing shapes. Guard completely down, a vulnerable expression, looking directly at the camera, 3/4 take. Eyes soft and open, brow smooth, jawline softened, shoulders relaxed. same art style as the character base, same trench coat and clothing. Clean confident linework, painterly soft shading, muted natural palette.",3:4,0
content/characters/aisha_al_sayed/assets/aisha_al_sayed__contemplative.png,"premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of a Middle Eastern Arab woman in her late 30s. Medium height, lean and angular frame with deeply unique, un-idealized facial anatomy. Realistic eye sizes, deep amber-brown, sharp and focused. Stern expression, steady composed bearing. Dark brown wavy hair pulled back in practical low bun, slight widow's peak. Wears thin wire-rimmed glasses, small sport non-in-ear earbud clipped to earlobe. Minimalist pocketless practical work clothing with high-visibility safety vest over blouse, warm olive complexion. Thin scar visible on left forearm from factory incident. The backdrop is a weathered urban Latin American industrial facility under intense vertical tropical sunlight, creating soft volumetric depth. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette, zero conventional beauty templates. Deep thought, looking thoughtfully at the camera, 3/4 take. Eyes gazing softly into the middle distance, slight downward tilt to her head, mouth relaxed but thoughtful. same art style as the character base, same clothing and backdrop. Clean confident linework, painterly soft shading, muted natural palette.","premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of a Middle Eastern Arab woman in her late 30s. Medium height, lean and angular frame with deeply unique, un-idealized facial anatomy. Realistic eye sizes, deep amber-brown, sharp and focused. Stern expression, steady composed bearing. Dark brown wavy hair pulled back in practical low bun, slight widow's peak. Deep thought, looking thoughtfully at the camera, 3/4 take. Eyes gazing softly into the middle distance, slight downward tilt to her head, mouth relaxed but thoughtful. same art style as the character base, same clothing and backdrop. Clean confident linework, painterly soft shading, muted natural palette.",3:4,0
content/characters/aisha_al_sayed/assets/aisha_al_sayed__default.png,"premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of a Middle Eastern Arab woman in her late 30s. Medium height, lean and angular frame with deeply unique, un-idealized facial anatomy. Realistic eye sizes, deep amber-brown, sharp and focused. Stern expression, steady composed bearing. Dark brown wavy hair pulled back in practical low bun, slight widow's peak. Wears thin wire-rimmed glasses, small sport non-in-ear earbud clipped to earlobe. Minimalist pocketless practical work clothing with high-visibility safety vest over blouse, warm olive complexion. Thin scar visible on left forearm from factory incident. The backdrop is a weathered urban Latin American industrial facility under intense vertical tropical sunlight, creating soft volumetric depth. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette, zero conventional beauty templates. Neutral resting expression, looking at the camera, 3/4 take. same art style as the character base, same clothing and backdrop. Clean confident linework, painterly soft shading, muted natural palette, zero conventional beauty templates.","premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of a Middle Eastern Arab woman in her late 30s. Medium height, lean and angular frame with deeply unique, un-idealized facial anatomy. Realistic eye sizes, deep amber-brown, sharp and focused. Stern expression, steady composed bearing. Dark brown wavy hair pulled back in practical low bun, slight widow's peak. Wears thin wire-rimmed glasses, small sport non-in-ear earbud clipped to earlobe. Neutral resting expression, looking at the camera, 3/4 take. same art style as the character base, same clothing and backdrop. Clean confident linework, painterly soft shading, muted natural palette, zero conventional beauty templates.",3:4,0
content/characters/aisha_al_sayed/assets/aisha_al_sayed__determined.png,"premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of a Middle Eastern Arab woman in her late 30s. Medium height, lean and angular frame with deeply unique, un-idealized facial anatomy. Realistic eye sizes, deep amber-brown, sharp and focused. Stern expression, steady composed bearing. Dark brown wavy hair pulled back in practical low bun, slight widow's peak. Wears thin wire-rimmed glasses, small sport non-in-ear earbud clipped to earlobe. Minimalist pocketless practical work clothing with high-visibility safety vest over blouse, warm olive complexion. Thin scar visible on left forearm from factory incident. The backdrop is a weathered urban Latin American industrial facility under intense vertical tropical sunlight, creating soft volumetric depth. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette, zero conventional beauty templates. Stern expression with jaw set, looking unflinchingly at the camera, 3/4 take. Eyes sharp and piercing, lips pressed in a thin line of resolve. same art style as the character base, same clothing and backdrop. Clean confident linework, painterly soft shading with deep shadows.","premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of a Middle Eastern Arab woman in her late 30s. Medium height, lean and angular frame with deeply unique, un-idealized facial anatomy. Realistic eye sizes, deep amber-brown, sharp and focused. Stern expression, steady composed bearing. Dark brown wavy hair pulled back in practical low bun, slight widow's peak. Wears thin wire-rimmed glasses, small sport non-in-ear earbud clipped to earlobe. Stern expression with jaw set, looking unflinchingly at the camera, 3/4 take. Eyes sharp and piercing, lips pressed in a thin line of resolve. same art style as the character base, same clothing and backdrop. Clean confident linework, painterly soft shading with deep shadows.",3:4,0
content/characters/aisha_al_sayed/assets/aisha_al_sayed__focused.png,"premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of a Middle Eastern Arab woman in her late 30s. Medium height, lean and angular frame with deeply unique, un-idealized facial anatomy. Realistic eye sizes, deep amber-brown, sharp and focused. Stern expression, steady composed bearing. Dark brown wavy hair pulled back in practical low bun, slight widow's peak. Wears thin wire-rimmed glasses, small sport non-in-ear earbud clipped to earlobe. Minimalist pocketless practical work clothing with high-visibility safety vest over blouse, warm olive complexion. Thin scar visible on left forearm from factory incident. The backdrop is a weathered urban Latin American industrial facility under intense vertical tropical sunlight, creating soft volumetric depth. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette, zero conventional beauty templates. Intense concentration, looking directly at the camera, 3/4 take. Glasses pushed up high on her nose, eyes narrowing sharply, brows drawn with a slight furrow, mouth pressed closed in determination. same art style as the character base, same high-visibility safety vest and work clothing and backdrop. Clean confident linework, painterly soft shading, muted natural palette.","premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of a Middle Eastern Arab woman in her late 30s. Medium height, lean and angular frame with deeply unique, un-idealized facial anatomy. Realistic eye sizes, deep amber-brown, sharp and focused. Stern expression, steady composed bearing. Dark brown wavy hair pulled back in practical low bun, slight widow's peak. Intense concentration, looking directly at the camera, 3/4 take. Glasses pushed up high on her nose, eyes narrowing sharply, brows drawn with a slight furrow, mouth pressed closed in determination. same art style as the character base, same high-visibility safety vest and work clothing and backdrop. Clean confident linework, painterly soft shading, muted natural palette.",3:4,0
content/characters/aisha_al_sayed/assets/aisha_al_sayed__professional.png,"premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of a Middle Eastern Arab woman in her late 30s. Medium height, lean and angular frame with deeply unique, un-idealized facial anatomy. Realistic eye sizes, deep amber-brown, sharp and focused. Stern expression, steady composed bearing. Dark brown wavy hair pulled back in practical low bun, slight widow's peak. Wears thin wire-rimmed glasses, small sport non-in-ear earbud clipped to earlobe. Minimalist pocketless practical work clothing with high-visibility safety vest over blouse, warm olive complexion. Thin scar visible on left forearm from factory incident. The backdrop is a weathered urban Latin American industrial facility under intense vertical tropical sunlight, creating soft volumetric depth. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette, zero conventional beauty templates. Composed and authoritative expression, looking directly at the camera, 3/4 take, slightly angled toward the viewer. Eyes engaged and assessing, slight upward lift to her chin conveying confidence. same art style as the character base, same clothing and backdrop. Clean confident linework, painterly soft shading, muted natural palette.","premium contemporary graphic novel realism, refined editorial line art illustration, waist-up portrait of a Middle Eastern Arab woman in her late 30s. Medium height, lean and angular frame with deeply unique, un-idealized facial anatomy. Realistic eye sizes, deep amber-brown, sharp and focused. Stern expression, steady composed bearing. Dark brown wavy hair pulled back in practical low bun, slight widow's peak. Composed and authoritative expression, looking directly at the camera, 3/4 take, slightly angled toward the viewer. Eyes engaged and assessing, slight upward lift to her chin conveying confidence. same art style as the character base, same clothing and backdrop. Clean confident linework, painterly soft shading, muted natural palette.",3:4,0
