prompt_rel	variant	w	h	draft_path	size_bytes	status	updated_at
backgrounds/callej_n_centro.prompt.md	default	1280	720	backgrounds/callej_n_centro.prompt/drafts/callej_n_centro__default.png	127816	completed	2026-07-07T07:35:35-05:00
backgrounds/governor_s_offices.prompt.md	default	1280	720	backgrounds/governor_s_offices.prompt/drafts/governor_s_offices__default.png	99408	completed	2026-07-07T07:35:35-05:00
backgrounds/laboratorio.prompt.md	default	1280	720	backgrounds/laboratorio.prompt/drafts/laboratorio__default.png	256976	completed	2026-07-07T07:35:35-05:00
backgrounds/luz_del_r_o.prompt.md	default	1280	720	backgrounds/luz_del_r_o.prompt/drafts/luz_del_r_o__default.png	278924	completed	2026-07-07T07:35:35-05:00
backgrounds/mercado_central.prompt.md	default	1280	720	backgrounds/mercado_central.prompt/drafts/mercado_central__default.png	406314	completed	2026-07-07T07:35:35-05:00
backgrounds/puerto_de_las_flores.prompt.md	default	1280	720	backgrounds/puerto_de_las_flores.prompt/drafts/puerto_de_las_flores__default.png	296425	completed	2026-07-07T07:35:35-05:00
backgrounds/puerto_noche.prompt.md	default	1280	720	backgrounds/puerto_noche.prompt/drafts/puerto_noche__default.png	267659	completed	2026-07-07T07:35:35-05:00
backgrounds/van_der_meer_mine.prompt.md	default	1280	720	backgrounds/van_der_meer_mine.prompt/drafts/van_der_meer_mine__default.png	89718	completed	2026-07-07T07:35:35-05:00
biometric/diego_huaman/diego_huaman_biometric.prompt.md	default	512	512	biometric/diego_huaman/diego_huaman_biometric.prompt/drafts/diego_huaman_biometric__default.png	178617	completed	2026-07-07T07:35:35-05:00
overlays/electra_battery.prompt.md	default	512	512	overlays/electra_battery.prompt/drafts/electra_battery__default.png	181917	completed	2026-07-07T07:35:35-05:00
overlays/far_south_outpost.prompt.md	default	512	512	overlays/far_south_outpost.prompt/drafts/far_south_outpost__default.png	188727	completed	2026-07-07T07:35:35-05:00
overlays/governor_s_offices.prompt.md	default	512	512	overlays/governor_s_offices.prompt/drafts/governor_s_offices__default.png	112349	completed	2026-07-07T07:35:35-05:00
overlays/iglesia_vieja.prompt.md	default	512	512	overlays/iglesia_vieja.prompt/drafts/iglesia_vieja__default.png	169216	completed	2026-07-07T07:35:35-05:00
overlays/luz_del_r_o.prompt.md	default	512	512	overlays/luz_del_r_o.prompt/drafts/luz_del_r_o__default.png	198518	completed	2026-07-07T07:35:35-05:00
overlays/mall_de_las_estrellas.prompt.md	default	512	512	overlays/mall_de_las_estrellas.prompt/drafts/mall_de_las_estrellas__default.png	180659	completed	2026-07-07T07:35:35-05:00
overlays/mercado_central.prompt.md	default	512	512	overlays/mercado_central.prompt/drafts/mercado_central__default.png	195738	completed	2026-07-07T07:35:35-05:00
overlays/palacio_municipal.prompt.md	default	512	512	overlays/palacio_municipal.prompt/drafts/palacio_municipal__default.png	81387	completed	2026-07-07T07:35:35-05:00
overlays/parque_de_las_monta_as.prompt.md	default	512	512	overlays/parque_de_las_monta_as.prompt/drafts/parque_de_las_monta_as__default.png	185544	completed	2026-07-07T07:35:35-05:00
overlays/playa_entrance.prompt.md	default	512	512	overlays/playa_entrance.prompt/drafts/playa_entrance__default.png	170893	completed	2026-07-07T07:35:35-05:00
overlays/puerto_de_las_flores.prompt.md	default	512	512	overlays/puerto_de_las_flores.prompt/drafts/puerto_de_las_flores__default.png	184053	completed	2026-07-07T07:35:35-05:00
overlays/teatro_nacional.prompt.md	default	512	512	overlays/teatro_nacional.prompt/drafts/teatro_nacional__default.png	155528	completed	2026-07-07T07:35:35-05:00
overlays/universidad_nacional.prompt.md	default	512	512	overlays/universidad_nacional.prompt/drafts/universidad_nacional__default.png	206111	completed	2026-07-07T07:35:35-05:00
overlays/van_der_meer_northern_mine.prompt.md	default	512	512	overlays/van_der_meer_northern_mine.prompt/drafts/van_der_meer_northern_mine__default.png	200310	completed	2026-07-07T07:35:35-05:00
overlays/world_trade_center.prompt.md	default	512	512	overlays/world_trade_center.prompt/drafts/world_trade_center__default.png	147042	completed	2026-07-07T07:35:35-05:00
phone/agenda.prompt.md	default	128	128	phone/agenda.prompt/drafts/agenda__default.png	84029	completed	2026-07-07T07:35:35-05:00
phone/ajustes.prompt.md	default	128	128	phone/ajustes.prompt/drafts/ajustes__default.png	88787	completed	2026-07-07T07:35:35-05:00
phone/chat.prompt.md	default	128	128	phone/chat.prompt/drafts/chat__default.png	75106	completed	2026-07-07T07:35:35-05:00
phone/las_flores_skyline.prompt.md	default	1080	1920	phone/las_flores_skyline.prompt/drafts/las_flores_skyline__default.png	178296	completed	2026-07-07T07:35:35-05:00
phone/mapa.prompt.md	default	128	128	phone/mapa.prompt/drafts/mapa__default.png	82988	completed	2026-07-07T07:35:35-05:00
phone/mercado.prompt.md	default	128	128	phone/mercado.prompt/drafts/mercado__default.png	77553	completed	2026-07-07T07:35:35-05:00
phone/misiones.prompt.md	default	128	128	phone/misiones.prompt/drafts/misiones__default.png	55332	completed	2026-07-07T07:35:35-05:00
phone/noticias.prompt.md	default	128	128	phone/noticias.prompt/drafts/noticias__default.png	95977	completed	2026-07-07T07:35:35-05:00
phone/radio.prompt.md	default	128	128	phone/radio.prompt/drafts/radio__default.png	62204	completed	2026-07-07T07:35:35-05:00
