path,slug,variant,base_local,base_s3,prompt,nim_safe_prompt,t2i_prompt,ratio,done
content/scenes/acuario/assets/acuario__night.png,acuario,night,content/scenes/acuario/assets/acuario__default.png,s3://las-flores/backgrounds/acuario/acuario__default.png,"Use the base scene as reference. Floor-level perspective looking toward entrance. Bright interior lighting maintains the welcoming promotional look from the visitor's viewpoint. Holographic displays in the reef tunnel glow vibrantly against the dark exterior visible through the entrance. Exterior shows dark parking lot with scattered vehicle lights. Warm ceiling lights create an inviting atmosphere. The linear path recedes into the distance behind the camera position. Same layout, same graphic novel style, no people. Clean confident linework, painterly soft shading, bright promotional palette with high-contrast between interior and exterior.","Use the base scene as reference. Floor-level perspective looking toward entrance. Bright interior lighting maintains the welcoming promotional look from the visitor's viewpoint. Holographic displays in the reef tunnel glow vibrantly against the dark exterior visible through the entrance. Exterior shows dark parking lot with scattered vehicle lights. Warm ceiling lights create an inviting atmosphere. The linear path recedes into the distance behind the camera position. Same layout, same graphic novel style, no people. Clean confident linework, painterly soft shading, bright promotional palette with high-contrast between interior and exterior.","Promotional daytime interior shot of Acuario Las Flores in Las Flores 2077, from floor-level visitor perspective looking toward the entrance. Floor-level perspective looking toward entrance. Bright interior lighting maintains the welcoming promotional look from the visitor's viewpoint. Holographic displays in the reef tunnel glow vibrantly against the dark exterior visible through the entrance. Exterior shows dark parking lot with scattered vehicle lights. Warm ceiling lights create an inviting atmosphere. The linear path recedes into the distance behind the camera position. Same layout, same graphic novel style, no people. Clean confident linework, painterly soft shading, bright promotional palette with high-contrast between interior and exterior.",5:3,1
content/scenes/acuario/assets/acuario__sunset.png,acuario,sunset,content/scenes/acuario/assets/acuario__default.png,s3://las-flores/backgrounds/acuario/acuario__default.png,"Use the base scene as reference. Floor-level perspective with warm golden-hour light spilling through the entrance, mixing with bright holographic displays to create a rich, promotional atmosphere. Holographic displays in the tunnel have amber-tinted highlights. The interior maintains its bright, welcoming look while the entrance glows with sunset warmth. Parking lot visible through the entrance is bathed in orange light. Same layout, same graphic novel style, no people. Clean confident linework, painterly soft shading, warm bright palette.","Use the base scene as reference. Floor-level perspective with warm golden-hour light spilling through the entrance, mixing with bright holographic displays to create a rich, promotional atmosphere. Holographic displays in the tunnel have amber-tinted highlights. The interior maintains its bright, welcoming look while the entrance glows with sunset warmth. Parking lot visible through the entrance is bathed in orange light. Same layout, same graphic novel style, no people. Clean confident linework, painterly soft shading, warm bright palette.","Promotional daytime interior shot of Acuario Las Flores in Las Flores 2077, from floor-level visitor perspective looking toward the entrance. Floor-level perspective with warm golden-hour light spilling through the entrance, mixing with bright holographic displays to create a rich, promotional atmosphere. Holographic displays in the tunnel have amber-tinted highlights. The interior maintains its bright, welcoming look while the entrance glows with sunset warmth. Parking lot visible through the entrance is bathed in orange light. Same layout, same graphic novel style, no people. Clean confident linework, painterly soft shading, warm bright palette.",5:3,1
content/scenes/acuario/assets/acuario__rain.png,acuario,rain,content/scenes/acuario/assets/acuario__default.png,s3://las-flores/backgrounds/acuario/acuario__default.png,"Use the base scene as reference. Floor-level perspective with rain streaks running down the entrance glass. The interior remains bright and welcoming from this viewpoint. Parking lot outside appears wet with mirror-like reflections of the aquarium's bright lighting. Interior lighting is strong, creating a cozy contrast with the gloomy exterior. Concrete floor near entrance has scattered puddles with rippling reflections. Same layout, same graphic novel style, no people. Clean confident linework, painterly soft shading, bright interior vs cool exterior palette.","Use the base scene as reference. Floor-level perspective with rain streaks running down the entrance glass. The interior remains bright and welcoming from this viewpoint. Parking lot outside appears wet with mirror-like reflections of the aquarium's bright lighting. Interior lighting is strong, creating a cozy contrast with the gloomy exterior. Concrete floor near entrance has scattered puddles with rippling reflections. Same layout, same graphic novel style, no people. Clean confident linework, painterly soft shading, bright interior vs cool exterior palette.","Promotional daytime interior shot of Acuario Las Flores in Las Flores 2077, from floor-level visitor perspective looking toward the entrance. Floor-level perspective with rain streaks running down the entrance glass. The interior remains bright and welcoming from this viewpoint. Parking lot outside appears wet with mirror-like reflections of the aquarium's bright lighting. Interior lighting is strong, creating a cozy contrast with the gloomy exterior. Concrete floor near entrance has scattered puddles with rippling reflections. Same layout, same graphic novel style, no people. Clean confident linework, painterly soft shading, bright interior vs cool exterior palette.",5:3,1
content/scenes/aeropuerto/assets/aeropuerto__night.png,aeropuerto,night,content/scenes/aeropuerto/assets/aeropuerto__default.png,s3://las-flores/backgrounds/aeropuerto/aeropuerto__default.png,"Use the base scene as reference. Re-light the terminal as a night scene: darken the concourse, brighten the holographic departures board and neon accents, glass walls glow with runway lights and distant city lights, cooler blue palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the terminal as a night scene: darken the concourse, brighten the holographic departures board and neon accents, glass walls glow with runway lights and distant city lights, cooler blue palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The public arrivals and departures concourse of a Las Flores 2077 airport terminal. Vast, cool, bright hall with biometric gate arrays, automated ticketing kiosks, and a large holographic departures board cycling routes overhead. Re-light the terminal as a night scene: darken the concourse, brighten the holographic departures board and neon accents, glass walls glow with runway lights and distant city lights, cooler blue palette. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/aeropuerto/assets/aeropuerto__sunset.png,aeropuerto,sunset,content/scenes/aeropuerto/assets/aeropuerto__default.png,s3://las-flores/backgrounds/aeropuerto/aeropuerto__default.png,"Use the base scene as reference. Re-light the terminal with warm golden-hour sun pouring through the glass walls: amber highlights on the floor and kiosks, softer cool ceiling light, long sunbeams across the concourse. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the terminal with warm golden-hour sun pouring through the glass walls: amber highlights on the floor and kiosks, softer cool ceiling light, long sunbeams across the concourse. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","The public arrivals and departures concourse of a Las Flores 2077 airport terminal. Vast, cool, bright hall with biometric gate arrays, automated ticketing kiosks, and a large holographic departures board cycling routes overhead. Re-light the terminal with warm golden-hour sun pouring through the glass walls: amber highlights on the floor and kiosks, softer cool ceiling light, long sunbeams across the concourse. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/apartment/assets/apartment__night.png,apartment,night,content/scenes/apartment/assets/apartment__default.png,s3://las-flores/backgrounds/apartment/apartment__default.png,"Use the base scene as reference. Re-light the apartment as a deep night scene: the room darker, neon street glow brighter through the rain-streaked window, cooler blue palette, warm lamp the only interior light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the apartment as a deep night scene: the room darker, neon street glow brighter through the rain-streaked window, cooler blue palette, warm lamp the only interior light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A small, sterile apartment interior in the Old Town suburbs of Las Flores 2077. Minimal furnishings, a charging port and terminal uplink, a functional bed, and a single window streaked with rain. Warm lamplight against cool neon bleeding through the glass, cozy and intimate. Re-light the apartment as a deep night scene: the room darker, neon street glow brighter through the rain-streaked window, cooler blue palette, warm lamp the only interior light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/apartment/assets/apartment__sunset.png,apartment,sunset,content/scenes/apartment/assets/apartment__default.png,s3://las-flores/backgrounds/apartment/apartment__default.png,"Use the base scene as reference. Re-light the apartment with warm golden-hour light through the window: amber tones across the walls and floor, softer interior, the rain on the glass catching golden light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the apartment with warm golden-hour light through the window: amber tones across the walls and floor, softer interior, the rain on the glass catching golden light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A small, sterile apartment interior in the Old Town suburbs of Las Flores 2077. Minimal furnishings, a charging port and terminal uplink, a functional bed, and a single window streaked with rain. Warm lamplight against cool neon bleeding through the glass, cozy and intimate. Re-light the apartment with warm golden-hour light through the window: amber tones across the walls and floor, softer interior, the rain on the glass catching golden light. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/apartment/assets/apartment__day.png,apartment,day,content/scenes/apartment/assets/apartment__default.png,s3://las-flores/backgrounds/apartment/apartment__default.png,"Use the base scene as reference. Re-light the apartment as a clear dry day: bright natural daylight floods through the window, no rain on the glass, muted cool interior, crisp shadows. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the apartment as a clear dry day: bright natural daylight floods through the window, no rain on the glass, muted cool interior, crisp shadows. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A small, sterile apartment interior in the Old Town suburbs of Las Flores 2077. Minimal furnishings, a charging port and terminal uplink, a functional bed, and a single window streaked with rain. Warm lamplight against cool neon bleeding through the glass, cozy and intimate. Re-light the apartment as a clear dry day: bright natural daylight floods through the window, no rain on the glass, muted cool interior, crisp shadows. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/cafe/assets/cafe__night.png,cafe,night,content/scenes/cafe/assets/cafe__default.png,s3://las-flores/backgrounds/cafe/cafe__default.png,"Use the base scene as reference. Re-light the café as an evening scene: dim the room, warm golden overhead lamps, neon streetlight glowing through the front window, deeper shadows on the brick. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the café as an evening scene: dim the room, warm golden overhead lamps, neon streetlight glowing through the front window, deeper shadows on the brick. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A cozy, slightly worn coffee shop interior in the Old Town district of Las Flores 2077. Exposed brick walls, a worn wooden counter, an espresso machine venting steam, warm lamplight over small tables. Slow ambient mood, damp-brick character. Re-light the café as an evening scene: dim the room, warm golden overhead lamps, neon streetlight glowing through the front window, deeper shadows on the brick. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
content/scenes/cafe/assets/cafe__sunset.png,cafe,sunset,content/scenes/cafe/assets/cafe__default.png,s3://las-flores/backgrounds/cafe/cafe__default.png,"Use the base scene as reference. Re-light the café with golden-hour sun through the window: warm amber washes over the brick and counter, soft highlights on the espresso machine. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","Use the base scene as reference. Re-light the café with golden-hour sun through the window: warm amber washes over the brick and counter, soft highlights on the espresso machine. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette.","A cozy, slightly worn coffee shop interior in the Old Town district of Las Flores 2077. Exposed brick walls, a worn wooden counter, an espresso machine venting steam, warm lamplight over small tables. Slow ambient mood, damp-brick character. Re-light the café with golden-hour sun through the window: warm amber washes over the brick and counter, soft highlights on the espresso machine. Same layout, same graphic novel style, no people. Clean confident linework with vector-like cleanliness, painterly soft shading, muted natural palette. NO androids, no robots, no cybernetic humans, no extreme violence, no blood, no gore, no dismemberment, no guns, no modern day, no 2020s, no utopian, no pristine",5:3,1
